Locality,DecimalLatitude,DecimalLongitude
Waikura Valley,-38.642197,177.676436
"Stewart Island, Inland from head of Cook Arm",-47.19767,167.585237
"Canterbury, Lake Sumner at the head",-42.704265,172.161934
"Deer Spur, Peel Forest Scenic Rserve, S. Canterbury",-43.891062,171.238376
"Fox River Canyon, W. Paparoas",-42.047605,171.422805
"Kermadec Islands, South Meyer, Denham Bay",-29.247,-177.878
"St. Arnaud Range, Nelson",-41.823468,172.892934
"Opotiki, Woodlands",-38.064789,177.216349
"Mid Dome, Red Duster Creek",-45.5831,168.533
"vic. Cambridge, Maungakawa Scenic Reserve",-37.861342,175.526381
"Rimutaka Range, east of summit.",-41.111103,175.244765
"Sutherland Vehicle Trk, Turanganui River East Branch, Haurangi Mountains",-41.420183,175.357616
"Soil Bureau Property, Taita",-41.1856,174.961
"Terrace on the west bank of the Kowhai River Valley, upstream from Sandy Creek",-42.339067,173.5497
"Mt Honokawa [Whanokao], Raukumara Ra.",-37.853631,177.977521
"Waipapa Station, S. Bank, Clarence R.",-42.167043,173.859277
"Lake Tekapo, near Power-house",-44.010145,170.461804
Arthurs Pass bush,-42.919037,171.55942
"Upper Taieri Plain, vicinity of Patearoa Power Station; c. 1 km upstream of Styx/Patearoa Road; near holiday crib at road end.",-45.335095,169.951318
"South Auckland, Hamilton Ecological District, Rototuna, Thomas Road.",-37.730188,175.280251
"Epsom, Showgrounds, grandstand roof",-36.890466,174.782148
"Erua, near National Park, near margin of Erua State Forest",-39.166,175.368
"Christchurch, near Thorrington Primary School",-43.564858,172.628515
"Levin, Ohau River, Cresswell's Gravel Quarry, Gladstone Rd extension",-40.6647,175.36
"Headwaters of Piraruhe Stream, between Wanganui River and National Park",-39.307,175.084
Marlborough: Monkey Face,-42.428778,173.405852
Irene Saddle [Pass] to Coronation Peak,-45.224162,167.253547
"Head of Lake Sumner, N. Canterbury - outlet of Hurunui River",-42.717472,172.276633
"Mount Aspiring National Park, Upper Arawata Valley",-44.32907,168.75412
Bushey,-45.464813,170.761373
"Upper Rakaia River, nr Lyell Hutt",-43.298851,170.910688
"Tarata, Inglewood, Taranaki",-39.15,174.367
"Limestone Valley, W. of Taiko, Sth Canterbury",-44.345444,171.023069
Lake Mangamahoe,-39.127332,174.125553
Paparoa Range: Spur south east of Mount Priestly. ,-42.076243,171.553452
"Tai Tapu, Otahuna",-43.6592,172.585
Granite rock,-41.262487,173.28702
"Mt Bruce, Masterton, Wairarapa",-40.751,175.611
"Auckland City, Western Springs Park, Great North Road",-36.867106,174.722543
Teddington.,-43.672938,172.652657
"Otaki Gorge Road, ½  mile west of Roaring Meg",-40.87347,175.230101
7 mls N. of Dunedin,-45.795,170.528
"Stewart Island, Big Bungaree.",-46.8177,168.095
"Rotorua, Blue Lake",-38.19573,176.326522
Bot. Gard. Ch.Ch. [Botanic Gardens Christchurch],-43.531,172.625
500m south of Halkett Reserve,-43.477829,172.301492
"Peel Forest Homestead, South Canterbury",-43.909,171.23
Rock and Pillar Ra.,-45.383,170.116
"Lower Buller Valley on south bank near gorge entrance, Nelson.",-41.834,171.662
"Taranaki, Opunake, Te Kiri, Cold Creek",-39.399938,174.013177
"Nelson, Little Wanganui, ridge west of Shag Tarn",-41.338733,172.167425
"Lynn Stream hut, Mt Peel",-43.84587,171.20647
"Plantation Road/Ferrimans Road intersection, near Tinwald",-43.919746,171.601564
Kaiaka,-35.11,173.44
"Titirangi, Clark's Bush",-36.939168,174.645073
"Christchurch, Jollie's Bush",-43.586814,172.738743
Sumner Beach,-43.564364,172.753556
"Mystery Burn, Murchison Mts, Fiordland, hanging valley south of Black Cone",-45.321502,167.589027
Lake Rotoroa,-41.795151,172.599647
Mt Fishtail,-41.448474,173.490668
"Horseshoe Lake, Christchurch",-43.496619,172.671412
Kauri Glen,-36.804896,174.734945
"Levin, Ohau River, near Gladstone Road",-40.654198,175.35373
Westhaven [Whanganui Inlet],-40.574,172.634
Arthurs Pass - track to Margaret's Tarn,-42.917019,171.542318
"Moawhango West V., Kaimanawa Mountains",-39.297602,175.840551
"New Zealand, Kermadec Ecological Region and District, Kermadec Islands Nature Reserve, Kermadec Islands southern group, Cheeseman Island",-30.536277,-178.568
"Lake Otakaina access road, Rotorua lakes",-38.064226,176.430384
"North Island, South Auckland, Thames, Kaueranga Valley road near National Park boundary",-37.09108,175.64328
Reef Point [Tauroa Point],-35.1858,173.04
"Fiordland NP, Homer Saddle",-44.766666,167.983333
"Bay of Plenty, Tauranga Ecological District near Kaukumoutiti Road.",-37.825052,175.995954
"Marlborough, Haldon Hills, Blind",-41.750633,174.023332
"Takaka Hill, Canaan, Parkland",-40.933056,172.9
Island Bay,-41.341868,174.769989
"Te Urewera, Tarapounamu LA2",-38.617458,176.872093
"Swamp near mouth of Haast River, South Westland, South Island",-43.846,169.029
"Mt Albert, 11 Ruarangi Road",-36.891117,174.723041
Waitara Nursery,-38.994898,174.225216
"Commissioners Bluff [Waitahi Bluff?], Nth of Okarito, South Westland",-43.146,170.228
Mahoenui,-38.5661,174.833
"Mt. Hutt Range, Scotts Stream [tributary of Dry Creek]",-43.549816,171.539715
"Nelson. Waiharakeke Bay, Abel Tasman National Park.",-40.842241,173.014771
Wairau Valley,-41.766797,172.973616
"Waiouru, SF 68",-39.53727,175.617676
Waitonga Falls Track,-39.330563,175.503495
"Mangawhero Track, Mt Egmont",-39.352278,174.083311
"Pohutukawa Flat, Little Barrier Island",-36.185967,175.106293
"Hawke's Bay, Maharakeke.",-40.227827,176.432096
between Belfast & Harewood.,-43.546392,172.504885
"North Auckland, Ahipara gumlands",-35.271046,173.145212
"Christchurch: Cashmere, residence of D. Robinson near Cracroft Tce.",-43.573858,172.62846
"South Canterbury, Hunters Hills, Weaner Run, South Branch Pareora River.",-44.536152,170.873621
[Waiohine Gorge Road],-41.010813,175.394777
"Waimakariri, Kaianga [Kainga]",-43.407442,172.660337
"Franz Josef Glacier, Power House Track",-43.388759,170.183554
Westland:  Saltwater Ecological Reserve,-43.10991,170.3947
"Mt Misery, Nelson Lakes Nat. Park",-41.9311,172.668
"Urenui, Taranaki.",-38.994,174.39
"Titirangi, Grendon Road",-36.948985,174.651372
"Canterbury, Burwood",-43.466035,172.690905
"N. of Lammerlaw Range, Red Swamp",-45.590242,169.695573
"Pt. Elizabeth, north of Greymouth",-42.385,171.222
"Okarito, South Westland",-43.22399,170.155961
"Fendalton, Christchurch. (Puriri Street)",-43.52873,172.591623
"Nelson, Matakitaki Valley, Mt Burn",-42.208569,172.484105
Chelsea Reserve,-36.818726,174.721336
"S.Canterbury, Lake Ohau",-44.203,169.814
"Okarahia Stream, E. Hundalee Hills, Marlborough",-42.5414,173.45143
"Kokatahi, Toaroha Divide",-42.916666,171.083333
"Epsom, Landscape Road",-36.897615,174.753042
"Jacks Pass, Hanmer Springs",-42.487933,172.827666
Huka Falls Lodge,-38.650707,176.090042
"North Island, Auckland Ecological Region, Glen Eden, Waikumete Cemetery, south of Urupa, southeast of ""Orchard Hill""",-36.904338,174.641883
"Mt Cheeseman, Craigieburn Range",-43.170248,171.634688
"Island Bay, Banks Peninsula, Canterbury",-43.89,172.87
"Stewart Island, Horseshoe Bay.",-46.904326,168.119965
"Marrington Pks to Mt Soaker, Fiordland",-45.347052,167.175253
"Higgins Road, upper Buller R",-41.699652,172.66369
"North Island, Eastern Northland Ecological Region, Mokohinau Islands Nature Reserve , Stack ""H""",-35.91309,175.093785
"Otago, Murdering Beach",-45.762862,170.67353
"Orari Gorge, Station Creek, Geraldine Co. S. Canterbury.",-43.981441,171.180994
Woodhill,-36.745362,174.431215
Stewart Island: Mt Rakehua.,-46.948325,167.879251
Wakanui Beach,-44.027582,171.858956
"Kariotahi [Karioitahi], West Coast, Auckland",-37.321703,174.576289
"Inangahua River, 2.5 km S Inangahua",-41.866667,171.916667
"Okains Bay, Banks Peninsula.",-43.718445,173.037067
"Mount Cook National Park, Birch Hill.",-43.802,170.113
Waimakariri River Track,-43.021225,171.592727
Waimarino Plain,-39.246,175.388
