Locality,DecimalLatitude,DecimalLongitude,place_names,last_place_name,last_place_name_feature_type,source_latitude,source_longitude
"levin, ohau river, cresswell's gravel quarry, gladstone rd extension",-40.6647,175.36,"[{'place_name': 'levin', 'feature_type': 'Town'}]",gladstone,Locality,-46.39204,168.3555099
"headwaters of piraruhe stream, between wanganui river and national park",-39.307,175.084,"[{'place_name': 'piraruhe stream', 'feature_type': 'Stream'}, {'place_name': 'wanganui river', 'feature_type': 'Stream'}]",national park,Village,-39.1727294,175.4037274
marlborough: monkey face,-42.428778,173.405852,"[{'place_name': 'marlborough', 'feature_type': 'Suburb'}]",marlborough,Suburb,-41.47447475,173.8330262577606
irene saddle [pass] to coronation peak,-45.224162,167.253547,"[{'place_name': 'saddle', 'feature_type': 'Hill'}]",coronation peak,Hill,-45.23209,167.27302
"head of lake sumner, north canterbury - outlet of hurunui river",-42.717472,172.276633,"[{'place_name': 'lake sumner', 'feature_type': 'Lake'}]",hurunui river,Stream,-42.8181446,172.6109052
"mount aspiring national park, upper arawata valley",-44.32907,168.75412,"[{'place_name': 'mount aspiring national park', 'feature_type': 'National Park'}]",mount aspiring national park,National Park,-44.34990745,168.7148481596373
"upper rakaia river, nr lyell hutt",-43.298851,170.910688,"[{'place_name': 'rakaia river', 'feature_type': 'Stream'}]",lyell,Locality,-41.7970556,172.0470357
"tarata, inglewood, taranaki",-39.15,174.367,"[{'place_name': 'tarata', 'feature_type': 'Locality'}, {'place_name': 'inglewood', 'feature_type': 'Town'}]",taranaki,Hill,-39.3848064,174.19735050943854
"limestone valley, west of taiko, sth canterbury",-44.345444,171.023069,"[{'place_name': 'limestone valley', 'feature_type': 'Locality'}]",taiko,Locality,-38.224333,177.250028
lake mangamahoe,-39.127332,174.125553,"[{'place_name': 'lake mangamahoe', 'feature_type': 'Lake'}]",lake mangamahoe,Lake,-39.12468895,174.12265063272403
paparoa range: spur south east of mount priestly. ,-42.076243,171.553452,"[{'place_name': 'paparoa range', 'feature_type': 'Range'}]",mount priestly,Hill,-42.0730323,171.5461464
"tai tapu, otahuna",-43.6592,172.585,"[{'place_name': 'tai tapu', 'feature_type': 'Locality'}]",tai tapu,Locality,-43.6595989,172.5502326
granite rock,-41.262487,173.28702,"[{'place_name': 'rock', 'feature_type': 'Hill'}]",rock,Hill,-38.912389,174.526
"mt bruce, masterton, wairarapa",-40.751,175.611,"[{'place_name': 'masterton', 'feature_type': 'Town'}]",masterton,Town,-40.9495524,175.6594413
"auckland city, western springs park, great north road",-36.867106,174.722543,"[{'place_name': 'auckland city', 'feature_type': 'Local Authority'}]",western springs,Spring,-36.870489,174.7289119
teddington.,-43.672938,172.652657,"[{'place_name': 'teddington', 'feature_type': 'Locality'}]",teddington,Locality,-43.6657825,172.6599337
"otaki gorge road, ½  mile west of roaring meg",-40.87347,175.230101,"[{'place_name': 'gorge road', 'feature_type': 'Locality'}]",roaring meg,Stream,-40.8763442,175.1978749
7 mls north of dunedin,-45.795,170.528,"[{'place_name': 'dunedin', 'feature_type': 'City'}]",dunedin,City,-45.8740984,170.5035755
"rotorua, blue lake",-38.19573,176.326522,"[{'place_name': 'rotorua', 'feature_type': 'City'}]",blue lake,Lake,-45.475721449999995,168.92803501843431
bot. gard. ch.ch. [botanic gardens christchurch],-43.531,172.625,"[{'place_name': 'gardens', 'feature_type': 'Locality'}]",christchurch,City,-43.530955,172.6366455
500m south of halkett reserve,-43.477829,172.301492,"[{'place_name': 'halkett', 'feature_type': 'Locality'}]",halkett,Locality,-43.5008109,172.3224664
"peel forest homestead, south canterbury",-43.909,171.23,"[{'place_name': 'peel forest', 'feature_type': 'Locality'}]",peel forest,Locality,-43.911219,171.2603756
rock and pillar ra.,-45.383,170.116,"[{'place_name': 'rock and pillar', 'feature_type': 'Locality'}]",rock and pillar,Locality,-45.4021304,170.1971572
"lower buller valley on south bank near gorge entrance, nelson.",-41.834,171.662,"[{'place_name': 'south bank', 'feature_type': 'Bank'}]",nelson,City,-41.2710849,173.2836756
"nelson, little wanganui, ridge west of shag tarn",-41.338733,172.167425,"[{'place_name': 'nelson', 'feature_type': 'City'}, {'place_name': 'little wanganui', 'feature_type': 'Locality'}]",shag tarn,Lake,-41.33655975,172.17636023974524
"lynn stream hut, mt peel",-43.84587,171.20647,"[{'place_name': 'lynn stream', 'feature_type': 'Stream'}]",lynn stream,Stream,-36.9147783,174.6917167
"plantation road/ferrimans road intersection, near tinwald",-43.919746,171.601564,"[{'place_name': 'tinwald', 'feature_type': 'Town'}]",tinwald,Town,-43.9201174,171.7233836
kaiaka,-35.11,173.44,"[{'place_name': 'kaiaka', 'feature_type': 'Locality'}]",kaiaka,Locality,-35.1091031,173.4425714
"titirangi, clark's bush",-36.939168,174.645073,"[{'place_name': 'titirangi', 'feature_type': 'Suburb'}]",titirangi,Suburb,-38.677528,178.031222
"christchurch, jollie's bush",-43.586814,172.738743,"[{'place_name': 'christchurch', 'feature_type': 'City'}]",christchurch,City,-43.530955,172.6366455
sumner beach,-43.564364,172.753556,"[{'place_name': 'sumner', 'feature_type': 'Suburb'}]",sumner,Suburb,-43.5684808,172.7590631
"mystery burn, murchison mts, fiordland, hanging valley south of black cone",-45.321502,167.589027,"[{'place_name': 'mystery burn', 'feature_type': 'Stream'}, {'place_name': 'murchison', 'feature_type': 'Town'}]",black cone,Hill,-45.30384,167.61874
lake rotoroa,-41.795151,172.599647,"[{'place_name': 'lake rotoroa', 'feature_type': 'Lake'}]",lake rotoroa,Lake,-37.7983153,175.27451309630658
"horseshoe lake, christchurch",-43.496619,172.671412,"[{'place_name': 'horseshoe lake', 'feature_type': 'Lake'}]",christchurch,City,-43.530955,172.6366455
kauri glen,-36.804896,174.734945,"[{'place_name': 'kauri', 'feature_type': 'Locality'}]",kauri,Locality,-36.014639,174.090889
"levin, ohau river, near gladstone road",-40.654198,175.35373,"[{'place_name': 'levin', 'feature_type': 'Town'}]",gladstone,Suburb,-46.39204,168.3555099
westhaven [whanganui inlet],-40.574,172.634,"[{'place_name': 'westhaven', 'feature_type': 'Suburb'}]",whanganui inlet,Bay,-38.7356,177.0644603
"moawhango west v., kaimanawa mountains",-39.297602,175.840551,"[{'place_name': 'moawhango', 'feature_type': 'Locality'}]",kaimanawa mountains,Range,-39.1426547,175.9746851
"new zealand, kermadec ecological region and district, kermadec islands nature reserve, kermadec islands southern group, cheeseman island",-30.536277,-178.568,"[{'place_name': 'kermadec islands nature reserve', 'feature_type': 'Nature Reserve'}, {'place_name': 'kermadec islands', 'feature_type': 'Island'}]",cheeseman island,Island,-30.53694315,-178.56991505585938
"lake otakaina access road, rotorua lakes",-38.064226,176.430384,"[{'place_name': 'rotorua', 'feature_type': 'City'}]",rotorua,City,-38.1381493,176.252922
"north island, south auckland, thames, kaueranga valley road near national park boundary",-37.09108,175.64328,"[{'place_name': 'north island', 'feature_type': 'Island'}, {'place_name': 'auckland', 'feature_type': 'Local Authority'}, {'place_name': 'thames', 'feature_type': 'Town'}, {'place_name': 'national park', 'feature_type': 'Village'}]",boundary,Hill,-41.9054234,173.2515774
reef point [tauroa point],-35.1858,173.04,"[{'place_name': 'reef point', 'feature_type': 'Point'}]",tauroa point,Point,-35.1669316,173.0673265
"fiordland np, homer saddle",-44.766666,167.983333,"[{'place_name': 'homer saddle', 'feature_type': 'Pass'}]",homer saddle,Pass,-44.7592669,167.9798267
"bay of plenty, tauranga ecological district near kaukumoutiti road.",-37.825052,175.995954,"[{'place_name': 'bay of plenty', 'feature_type': 'Bay'}]",tauranga,City,-37.6859006,176.167505
island bay,-41.341868,174.769989,"[{'place_name': 'island bay', 'feature_type': 'Suburb'}]",island bay,Suburb,-41.3323139,174.7716525
"te urewera, tarapounamu la2",-38.617458,176.872093,"[{'place_name': 'tarapounamu', 'feature_type': 'Hill'}]",tarapounamu,Hill,-38.690324,176.734321
"swamp near mouth of haast river, south westland, south island",-43.846,169.029,"[{'place_name': 'haast river', 'feature_type': 'Stream'}]",south island,Island,-43.586562,171.21232939964904
"mt albert, 11 ruarangi road",-36.891117,174.723041,"[{'place_name': 'ruarangi', 'feature_type': 'Locality'}]",ruarangi,Locality,-35.863667,174.2675
waitara nursery,-38.994898,174.225216,"[{'place_name': 'waitara', 'feature_type': 'Town'}]",waitara,Town,-39.0028236,174.2364324
"commissioners bluff [waitahi bluff?], nth of okarito, south westland",-43.146,170.228,"[{'place_name': 'bluff', 'feature_type': 'Town'}, {'place_name': 'waitahi bluff', 'feature_type': 'Cliff'}]",okarito,Locality,-43.223549,170.162652
mahoenui,-38.5661,174.833,"[{'place_name': 'mahoenui', 'feature_type': 'Locality'}]",mahoenui,Locality,-38.5786853,174.8390043
"mt. hutt range, scotts stream [tributary of dry creek]",-43.549816,171.539715,"[{'place_name': 'dry creek', 'feature_type': 'Stream'}]",dry creek,Stream,-43.5875315,171.6212223
"nelson. waiharakeke bay, abel tasman national park.",-40.842241,173.014771,"[{'place_name': 'nelson', 'feature_type': 'City'}, {'place_name': 'waiharakeke bay', 'feature_type': 'Hill'}]",abel tasman national park,National Park,-40.889834699999994,172.93385913716241
wairau valley,-41.766797,172.973616,"[{'place_name': 'wairau valley', 'feature_type': 'Suburb'}]",wairau valley,Suburb,-41.5635411,173.5314071
"waiouru, sf 68",-39.53727,175.617676,"[{'place_name': 'waiouru', 'feature_type': 'Town'}]",waiouru,Town,-39.4772125,175.6697752
waitonga falls track,-39.330563,175.503495,"[{'place_name': 'waitonga falls', 'feature_type': 'Waterfall'}]",waitonga falls,Waterfall,-39.3311705,175.5100984
"mangawhero track, mt egmont",-39.352278,174.083311,"[{'place_name': 'mangawhero', 'feature_type': 'Locality'}]",mangawhero,Locality,-37.817846,175.819735
"pohutukawa flat, little barrier island",-36.185967,175.106293,"[{'place_name': 'pohutukawa flat', 'feature_type': 'Flat'}]",pohutukawa flat,Flat,-36.1829277,175.1065039
"hawke's bay, maharakeke.",-40.227827,176.432096,"[{'place_name': 'maharakeke', 'feature_type': 'Locality'}]",maharakeke,Locality,-40.0235043,176.4484777
between belfast & harewood.,-43.546392,172.504885,"[{'place_name': 'belfast', 'feature_type': 'Locality'}]",harewood,Suburb,-43.4784203,172.55728
"north auckland, ahipara gumlands",-35.271046,173.145212,"[{'place_name': 'auckland', 'feature_type': 'City'}]",ahipara,Town,-35.1754824,173.1469345
"christchurch: cashmere, residence of d. robinson near cracroft tce.",-43.573858,172.62846,"[{'place_name': 'christchurch', 'feature_type': 'City'}, {'place_name': 'cashmere', 'feature_type': 'Suburb'}]",cracroft,Suburb,-43.5778969,172.6141646
"south canterbury, hunters hills, weaner run, south branch pareora river.",-44.536152,170.873621,"[{'place_name': 'pareora river', 'feature_type': 'Stream'}]",pareora river,Stream,-44.3724536,170.9686585
[waiohine gorge road],-41.010813,175.394777,"[{'place_name': 'waiohine', 'feature_type': 'Hill'}]",gorge road,Locality,-46.47373,168.70309
"waimakariri, kaianga [kainga]",-43.407442,172.660337,"[{'place_name': 'kainga', 'feature_type': 'Locality'}]",kainga,Locality,-38.98191,175.921704
"franz josef glacier, power house track",-43.388759,170.183554,"[{'place_name': 'franz josef glacier', 'feature_type': 'Glacier'}]",franz josef glacier,Glacier,-43.475736850000004,170.19813697640626
"mt misery, nelson lakes nat. park",-41.9311,172.668,"[{'place_name': 'nelson', 'feature_type': 'City'}]",nelson,City,-41.2710849,173.2836756
"urenui, taranaki.",-38.994,174.39,"[{'place_name': 'urenui', 'feature_type': 'Locality'}]",taranaki,Hill,-39.3848064,174.19735050943854
"titirangi, grendon road",-36.948985,174.651372,"[{'place_name': 'titirangi', 'feature_type': 'Suburb'}]",titirangi,Suburb,-38.677528,178.031222
"canterbury, burwood",-43.466035,172.690905,"[{'place_name': 'burwood', 'feature_type': 'Suburb'}]",burwood,Suburb,-43.4994151,172.682828
"north of lammerlaw range, red swamp",-45.590242,169.695573,"[{'place_name': 'lammerlaw range', 'feature_type': 'Range'}]",red swamp,Wetland,-45.587919150000005,169.6952413188549
"pt. elizabeth, north of greymouth",-42.385,171.222,"[{'place_name': 'greymouth', 'feature_type': 'Town'}]",greymouth,Town,-42.4499469,171.2079875
"okarito, south westland",-43.22399,170.155961,"[{'place_name': 'okarito', 'feature_type': 'Locality'}]",okarito,Locality,-43.223549,170.162652
"fendalton, christchurch. (puriri street)",-43.52873,172.591623,"[{'place_name': 'fendalton', 'feature_type': 'Suburb'}, {'place_name': 'christchurch', 'feature_type': 'City'}]",puriri,Locality,-37.2302162,175.6387717
"nelson, matakitaki valley, mt burn",-42.208569,172.484105,"[{'place_name': 'nelson', 'feature_type': 'City'}]",matakitaki,Historic Site,-36.76334,175.51863
"okarahia stream, east hundalee hills, marlborough",-42.5414,173.45143,"[{'place_name': 'okarahia stream', 'feature_type': 'Stream'}, {'place_name': 'hundalee', 'feature_type': 'Locality'}]",marlborough,Suburb,-41.47447475,173.8330262577606
"kokatahi, toaroha divide",-42.916666,171.083333,"[{'place_name': 'kokatahi', 'feature_type': 'Locality'}]",kokatahi,Locality,-42.9020595,171.1425917
"epsom, landscape road",-36.897615,174.753042,"[{'place_name': 'epsom', 'feature_type': 'Suburb'}]",epsom,Suburb,-36.8858447,174.7734616
"jacks pass, hanmer springs",-42.487933,172.827666,"[{'place_name': 'jacks pass', 'feature_type': 'Pass'}]",hanmer springs,Town,-42.5217947,172.8302995
huka falls lodge,-38.650707,176.090042,"[{'place_name': 'huka falls', 'feature_type': 'Waterfall'}]",huka falls,Waterfall,-38.648754,176.0899194
"north island, auckland ecological region, glen eden, waikumete cemetery, south of urupa, southeast of ""orchard hill""",-36.904338,174.641883,"[{'place_name': 'north island', 'feature_type': 'Island'}, {'place_name': 'auckland', 'feature_type': 'City'}]",glen eden,Suburb,-36.9146254,174.6536504
"mt cheeseman, craigieburn range",-43.170248,171.634688,"[{'place_name': 'craigieburn range', 'feature_type': 'Range'}]",craigieburn range,Range,-43.162096,171.6503692
"island bay, banks peninsula, canterbury",-43.89,172.87,"[{'place_name': 'island bay', 'feature_type': 'Suburb'}]",banks peninsula,Peninsula,-43.7233892,172.910213
"stewart island, horseshoe bay.",-46.904326,168.119965,"[{'place_name': 'stewart island', 'feature_type': 'Island'}]",horseshoe bay,Bay,-43.8803977,172.8305947
