Locality,DecimalLatitude,DecimalLongitude
"sutherland vehicle trk, turanganui river east branch, haurangi mountains",-41.420183,175.357616
"soil bureau property, taita",-41.1856,174.961
"terrace on the west bank of the kowhai river valley, upstream from sandy creek",-42.339067,173.5497
"mt honokawa [whanokao], raukumara ra.",-37.853631,177.977521
"waipapa station, south bank, clarence r.",-42.167043,173.859277
"lake tekapo, near power-house",-44.010145,170.461804
arthurs pass bush,-42.919037,171.55942
"upper taieri plain, vicinity of patearoa power station; c. 1 km upstream of styx/patearoa road; near holiday crib at road end.",-45.335095,169.951318
"south auckland, hamilton ecological district, rototuna, thomas road.",-37.730188,175.280251
"epsom, showgrounds, grandstand roof",-36.890466,174.782148
"erua, near national park, near margin of erua state forest",-39.166,175.368
"christchurch, near thorrington primary school",-43.564858,172.628515
"levin, ohau river, cresswell's gravel quarry, gladstone rd extension",-40.6647,175.36
"headwaters of piraruhe stream, between wanganui river and national park",-39.307,175.084
marlborough: monkey face,-42.428778,173.405852
irene saddle [pass] to coronation peak,-45.224162,167.253547
"head of lake sumner, north canterbury - outlet of hurunui river",-42.717472,172.276633
"mount aspiring national park, upper arawata valley",-44.32907,168.75412
bushey,-45.464813,170.761373
"upper rakaia river, nr lyell hutt",-43.298851,170.910688
"tarata, inglewood, taranaki",-39.15,174.367
"limestone valley, west of taiko, sth canterbury",-44.345444,171.023069
lake mangamahoe,-39.127332,174.125553
paparoa range: spur south east of mount priestly. ,-42.076243,171.553452
"tai tapu, otahuna",-43.6592,172.585
granite rock,-41.262487,173.28702
"mt bruce, masterton, wairarapa",-40.751,175.611
"auckland city, western springs park, great north road",-36.867106,174.722543
teddington.,-43.672938,172.652657
"otaki gorge road, ½  mile west of roaring meg",-40.87347,175.230101
7 mls north of dunedin,-45.795,170.528
"stewart island, big bungaree.",-46.8177,168.095
"rotorua, blue lake",-38.19573,176.326522
bot. gard. ch.ch. [botanic gardens christchurch],-43.531,172.625
500m south of halkett reserve,-43.477829,172.301492
"peel forest homestead, south canterbury",-43.909,171.23
rock and pillar ra.,-45.383,170.116
"lower buller valley on south bank near gorge entrance, nelson.",-41.834,171.662
"taranaki, opunake, te kiri, cold creek",-39.399938,174.013177
"nelson, little wanganui, ridge west of shag tarn",-41.338733,172.167425
"lynn stream hut, mt peel",-43.84587,171.20647
"plantation road/ferrimans road intersection, near tinwald",-43.919746,171.601564
kaiaka,-35.11,173.44
"titirangi, clark's bush",-36.939168,174.645073
"christchurch, jollie's bush",-43.586814,172.738743
sumner beach,-43.564364,172.753556
"mystery burn, murchison mts, fiordland, hanging valley south of black cone",-45.321502,167.589027
lake rotoroa,-41.795151,172.599647
mt fishtail,-41.448474,173.490668
"horseshoe lake, christchurch",-43.496619,172.671412
kauri glen,-36.804896,174.734945
"levin, ohau river, near gladstone road",-40.654198,175.35373
westhaven [whanganui inlet],-40.574,172.634
arthurs pass - track to margaret's tarn,-42.917019,171.542318
"moawhango west v., kaimanawa mountains",-39.297602,175.840551
"new zealand, kermadec ecological region and district, kermadec islands nature reserve, kermadec islands southern group, cheeseman island",-30.536277,-178.568
"lake otakaina access road, rotorua lakes",-38.064226,176.430384
"north island, south auckland, thames, kaueranga valley road near national park boundary",-37.09108,175.64328
reef point [tauroa point],-35.1858,173.04
"fiordland np, homer saddle",-44.766666,167.983333
"bay of plenty, tauranga ecological district near kaukumoutiti road.",-37.825052,175.995954
"marlborough, haldon hills, blind",-41.750633,174.023332
"takaka hill, canaan, parkland",-40.933056,172.9
island bay,-41.341868,174.769989
"te urewera, tarapounamu la2",-38.617458,176.872093
"swamp near mouth of haast river, south westland, south island",-43.846,169.029
"mt albert, 11 ruarangi road",-36.891117,174.723041
waitara nursery,-38.994898,174.225216
"commissioners bluff [waitahi bluff?], nth of okarito, south westland",-43.146,170.228
mahoenui,-38.5661,174.833
"mt. hutt range, scotts stream [tributary of dry creek]",-43.549816,171.539715
"nelson. waiharakeke bay, abel tasman national park.",-40.842241,173.014771
wairau valley,-41.766797,172.973616
"waiouru, sf 68",-39.53727,175.617676
waitonga falls track,-39.330563,175.503495
"mangawhero track, mt egmont",-39.352278,174.083311
"pohutukawa flat, little barrier island",-36.185967,175.106293
"hawke's bay, maharakeke.",-40.227827,176.432096
between belfast & harewood.,-43.546392,172.504885
"north auckland, ahipara gumlands",-35.271046,173.145212
"christchurch: cashmere, residence of d. robinson near cracroft tce.",-43.573858,172.62846
"south canterbury, hunters hills, weaner run, south branch pareora river.",-44.536152,170.873621
[waiohine gorge road],-41.010813,175.394777
"waimakariri, kaianga [kainga]",-43.407442,172.660337
"franz josef glacier, power house track",-43.388759,170.183554
westland:  saltwater ecological reserve,-43.10991,170.3947
"mt misery, nelson lakes nat. park",-41.9311,172.668
"urenui, taranaki.",-38.994,174.39
"titirangi, grendon road",-36.948985,174.651372
"canterbury, burwood",-43.466035,172.690905
"north of lammerlaw range, red swamp",-45.590242,169.695573
"pt. elizabeth, north of greymouth",-42.385,171.222
"okarito, south westland",-43.22399,170.155961
"fendalton, christchurch. (puriri street)",-43.52873,172.591623
"nelson, matakitaki valley, mt burn",-42.208569,172.484105
chelsea reserve,-36.818726,174.721336
"southcanterbury, lake ohau",-44.203,169.814
"okarahia stream, east hundalee hills, marlborough",-42.5414,173.45143
"kokatahi, toaroha divide",-42.916666,171.083333
"epsom, landscape road",-36.897615,174.753042
"jacks pass, hanmer springs",-42.487933,172.827666
huka falls lodge,-38.650707,176.090042
"north island, auckland ecological region, glen eden, waikumete cemetery, south of urupa, southeast of ""orchard hill""",-36.904338,174.641883
"mt cheeseman, craigieburn range",-43.170248,171.634688
"island bay, banks peninsula, canterbury",-43.89,172.87
"stewart island, horseshoe bay.",-46.904326,168.119965
"marrington pks to mt soaker, fiordland",-45.347052,167.175253
"higgins road, upper buller r",-41.699652,172.66369
"north island, eastern northland ecological region, mokohinau islands nature reserve , stack ""h""",-35.91309,175.093785
"otago, murdering beach",-45.762862,170.67353
"orari gorge, station creek, geraldine co. south canterbury.",-43.981441,171.180994
woodhill,-36.745362,174.431215
stewart island: mt rakehua.,-46.948325,167.879251
wakanui beach,-44.027582,171.858956
"kariotahi [karioitahi], west coast, auckland",-37.321703,174.576289
"inangahua river, 2.5 km s inangahua",-41.866667,171.916667
"okains bay, banks peninsula.",-43.718445,173.037067
"mount cook national park, birch hill.",-43.802,170.113
waimakariri river track,-43.021225,171.592727
waimarino plain,-39.246,175.388
"craigieburn, lyndon saddle track",-43.143926,171.723575
"te urewera, mangapae ridge",-38.633243,176.873309
wellsford,-36.292654,174.514799
"auckland, calgarry [calgary] st.",-36.892447,174.740136
eltham,-39.44296,174.2197
stewart island:  near harrold's bay,-46.896,168.154
lake papaitonga,-40.6397,175.228
"above woodside g., marlborough",-41.93258,174.06334
"catlins lake, otago, south side near island",-46.489345,169.681556
"levin, lake horowhenua",-40.607586,175.268274
"clark flat, peel forest, south canterbury",-43.895238,171.266808
otira valley,-42.8963,171.539
"mt. barron, westland",-42.836,171.528
"pupu springs [waikoropupu springs], takaka, nelson",-40.847689,172.769203
mt. egmont,-39.244,174.109
west matukituki valley,-44.49285,168.79048
moanui road,-38.390126,177.459276
"whana huia [whanahuia] ra., ruahine ra.",-39.903109,176.002741
"clarks bluff [clarke bluff], haast rd",-43.975469,169.423222
"tararua range, mt matthews",-41.351956,175.014152
"southsouthe. of razorback, oterei taipos, east wairarapa",-41.402758,175.631392
"wellington, ruapehu, near haunted whare.",-39.205656,175.535554
"hunua ranges, cossey's creek",-37.064534,175.093239
"wellington, red rocks stream",-41.39806,174.913658
"coromandel state forest, kauaeranga valley",-37.132951,175.615167
pukekohe research centre,-37.2,174.9
"northz., nelson; cobb valley track, c. 100m e of bridge over mytton's creek.",-41.108741,172.589412
"mount aspiring national park, lower young valley, (n. side)",-44.176239,169.146923
"in clearing west side, riccarton bush, riccarton",-43.52873,172.591623
"wairoa, hawkes bay",-39.041,177.409
"ruahine forest park, near rangiwahia hut",-39.883333,176.016666
"taringatura hills, southland.",-45.851452,168.203673
"old man range at hyde rock ( s of cromwell, sw of alexandra).",-45.388278,169.197667
"south westland, cascade v.,",-44.159125,168.508623
"auckland, titirangi",-36.94,174.65
"great barrier island, hauraki gulf, auckland, ",-36.179,175.41
"north east of dunedin, near waitati, long beach",-45.815968,170.428134
"paihia, paihia-opua walkway",-35.291654,174.197625
"fiordland national park, milford sound, darran mountains, gertrude saddle track, top of saddle.",-44.77,168.003333
"westland national park, between mount fox trig and ""4391'""",-43.499034,169.99458
mt glasgow.,-41.613039,172.055065
"palmerston north, nr gasworks",-40.340793,175.646494
rainbow/wairau divide,-42.016111,172.883056
"mt thomas forest, bald hills stream, nth canterbury",-43.194095,172.266721
"waitakere ranges, karekare, lone kauri road",-36.970336,174.512719
"westland, lewis pass, five mile creek, waterfall track.",-42.36123,172.253391
"canterbury, ellesmere county, 5 miles se of bankside, killinchy.",-43.742654,172.192922
"piha, kitekite track",-36.955088,174.485317
"nelson lakes national park, mount robert",-41.832172,172.811164
originally from roadside outside old homestead at glenroy,-43.528778,171.828142
botanical hill,-41.278426,173.286611
"hawkes bay, haumoana",-39.6,176.95
"westland, grey county, inchbonnie.",-42.726716,171.449118
"coronation park, huntsbury, christchurch",-43.572183,172.64667
"spraggs bush, waitakere ranges",-36.9,174.533333
orari gorge,-43.9384,171.193755
16 km west of hawera (okaiawa).,-39.525,174.203
wellington; sar street,-41.265119,174.778493
lees valley,-43.184164,172.138773
terrace end p.n. [palmerston north],-40.349,175.635
"north island, aotea ( great barrier island), motairehe, motairehe stream mouth",-36.11733,175.374224
"southland, eglington valley, livingston range, above knobs flat.",-44.979949,168.014689
"l.rotokare, east of eltham",-39.45,174.409
mcqueens valley,-43.683056,172.666111
"the neck, glory cove track",-46.969083,168.175806
"victoria forest park, duffy creek route",-42.291944,172.057861
bluff hill,-46.604,168.338
"fiordland, lake manapouri, surprise bay",-45.558357,167.562866
"amberley golf course, nth canterbury",-43.15576,172.78735
"motueka, victoria st, j.r. talbot",-41.131944,172.991944
waimarino [river or stream],-39.433,175.133
pukenui,-34.818593,173.105841
"heathcote, port hills, christchurch",-43.592074,172.702649
"near lake forsyth, rocky bank beside road to little river, canterbury",-43.799164,172.73892
"blockhouse bay, boundary road",-36.919951,174.7123
"karamea, oparara estuary",-41.204626,172.108448
"akaroa, tane reserve",-43.810152,173.028492
"karikari peninsula, whangatupere bay",-34.834944,173.438667
auckland,-36.837625,174.761838
pack track,-36.219,175.395
allandale,-43.641285,172.650073
"wellington city, central park",-41.27856,174.777125
"waioeka gorge, 9.1 miles south of ministry of works depot",-38.288,177.377
"haast pass, brewster hut track",-44.083192,169.394037
"kirkliston range, south canterbury",-44.589,170.493
"eastbourne, days bay",-41.28296,174.913537
"stewart island, codfish island, sealers bay, base camp.",-46.766235,167.633475
terako on flatland,-42.528333,173.116666
"abandoned farm near beginning of little wanganui valley road, nelson",-41.276471,173.279045
"wanganui, kaitoke prison, harakeke pine forest",-39.994107,175.095188
"tararuas, between mitre flats and blue ranges",-40.830544,175.485018
otaki,-40.750511,175.145321
"whangarei heads, peach cove",-35.854964,174.565054
"peel forest park; clarke flat, sth canterbury",-43.899341,171.261102
"lower awatere valley, at black birch stream bridge",-41.734714,173.877621
"3 kings ra, kaimanawa mts.",-39.430036,175.877195
"banks peninsula: flea bay, forks ne gully akaroa",-43.856964,172.989998
"south marlbrough, molesworth station, lake mcrae, goat valley stream",-42.176019,173.332867
"cheltenham bay, devonport, auckland",-36.822476,174.800242
"wairarapa, castlepoint, whakataki river- coast",-40.866121,176.233331
