Locality,DecimalLatitude,DecimalLongitude,place_names,last_place_name,last_place_name_feature_type
"horowhenua district, hokio, near stream mouth",-40.600782,175.174441,"[{'place_name': 'horowhenua district', 'feature_type': 'Local Authority'}]",hokio,Hill
"kaitake range - egmont national park, timaru stream",-39.194039,173.96546,"[{'place_name': 'kaitake range', 'feature_type': 'Range'}, {'place_name': 'egmont national park', 'feature_type': 'National Park'}]",timaru,Town
"auckland, onehunga",-36.916,174.783,"[{'place_name': 'auckland', 'feature_type': 'Local Authority'}]",onehunga,Suburb
"mead hill, south west of chalk ra., marlborough",-41.94596,173.8213,"[{'place_name': 'mead hill', 'feature_type': 'Hill'}]",marlborough,Suburb
"deep bay, stewart island",-46.905,168.135,"[{'place_name': 'deep bay', 'feature_type': 'Bay'}]",stewart island,Island
"access point werati beach, cape reinga",-34.461615,172.68789,"[{'place_name': 'cape reinga', 'feature_type': 'Locality'}]",cape reinga,Locality
"aulds creek, 2m south of reefton, inangahua co., nelson",-42.1417,171.87067,"[{'place_name': 'reefton', 'feature_type': 'Town'}, {'place_name': 'inangahua', 'feature_type': 'Locality'}]",nelson,City
"whangarei county, whangaruru north head",-35.379657,174.371659,"[{'place_name': 'whangaruru north', 'feature_type': 'Locality'}]",whangaruru north,Locality
"tauranga bat, buller co.",-41.77234,171.448545,"[{'place_name': 'tauranga', 'feature_type': 'Hill'}]",tauranga,Hill
"track to jack's crk, maimai valley, west of reefton",-42.08683,171.769779,"[{'place_name': 'jack', 'feature_type': 'Hill'}, {'place_name': 'maimai', 'feature_type': 'Hill'}]",reefton,Town
"whanganui, durie hill, 22 forres st",-39.93433,175.06291,"[{'place_name': 'whanganui', 'feature_type': 'Locality'}]",durie hill,Suburb
"north island, matata, channel near nw lagoon",-37.88689,176.76088,"[{'place_name': 'north island', 'feature_type': 'Island'}]",north island,Island
"westland, punakaiki ecological district, mahers swamp.",-42.167596,171.322605,"[{'place_name': 'punakaiki', 'feature_type': 'Locality'}]",punakaiki,Locality
"hunua ranges, ploughs road",-37.040231,175.178971,"[{'place_name': 'hunua ranges', 'feature_type': 'Range'}]",hunua ranges,Range
"paparoa range, charleston, metro cave",-41.933333,171.466666,"[{'place_name': 'paparoa range', 'feature_type': 'Range'}, {'place_name': 'charleston', 'feature_type': 'Locality'}]",cave,Locality
"mackenzie basin, north west of twizel",-44.222373,170.034536,"[{'place_name': 'twizel', 'feature_type': 'Town'}]",twizel,Town
"fiordland, mount george, rocky basin immediately north of peak.",-45.456699,167.23158,"[{'place_name': 'mount george', 'feature_type': 'Hill'}]",peak,Hill
"mount egmont, dawson falls road",-39.316111,174.1,"[{'place_name': 'mount egmont', 'feature_type': 'Hill'}]",dawson falls,Waterfall
"blue mountains ridge, silverstream, hutt valley",-41.1376,175.141,"[{'place_name': 'blue mountains', 'feature_type': 'Range'}]",silverstream,Suburb
"christchurch, addington, old addington railway workshops site",-43.546775,172.603877,"[{'place_name': 'christchurch', 'feature_type': 'City'}, {'place_name': 'addington', 'feature_type': 'Suburb'}]",addington,Suburb
"new zealand, north island, te paki ecological region and district, te paki, north cape, north cape scientific reserve, surville cliffs, ""galloway bush""",-34.394472,173.009026,"[{'place_name': 'north island', 'feature_type': 'Island'}, {'place_name': 'te paki', 'feature_type': 'Locality'}, {'place_name': 'te paki', 'feature_type': 'Hill'}, {'place_name': 'north cape', 'feature_type': 'Cape'}, {'place_name': 'north cape scientific reserve', 'feature_type': 'Scientific Reserve'}, {'place_name': 'surville cliffs', 'feature_type': 'Cliff'}]",galloway,Locality
"omahuta state forest, near mangamuka bridge, kauri sanctury",-35.23915,173.626731,"[{'place_name': 'omahuta', 'feature_type': 'Locality'}, {'place_name': 'mangamuka bridge', 'feature_type': 'Locality'}]",kauri,Locality
"junction jones / hinds-arundel roads, canty. plains",-43.980207,171.411215,"[{'place_name': 'hinds', 'feature_type': 'Locality'}]",arundel,Locality
"north auckland, shore-line west of duck creek, manukau harbour",-36.823946,174.710592,"[{'place_name': 'auckland', 'feature_type': 'City'}, {'place_name': 'duck creek', 'feature_type': 'Stream'}]",manukau harbour,Bay
"deer spur walk, peel forest park, stop 5",-43.891,171.24,"[{'place_name': 'deer spur', 'feature_type': 'Ridge'}]",peel forest,Locality
"auckland islands, magnetic survey bay ",-50.866666,166.008333,"[{'place_name': 'auckland islands', 'feature_type': 'Island'}]",survey bay,Bay
wellington city,-41.310315,174.767769,"[{'place_name': 'wellington city', 'feature_type': 'Local Authority'}]",wellington city,Local Authority
cape runaway area,-37.577717,178.087846,"[{'place_name': 'cape runaway', 'feature_type': 'Point'}]",cape runaway,Point
"puketi forest, waipapa river track",-35.275583,173.685766,"[{'place_name': 'puketi forest', 'feature_type': 'Conservation Park'}]",waipapa river,Stream
head of flea bay,-43.871442,172.999854,"[{'place_name': 'flea bay', 'feature_type': 'Bay'}]",flea bay,Bay
"north canterbury, lewis river, dan's creek",-42.484484,172.388136,"[{'place_name': 'lewis river', 'feature_type': 'Stream'}]",lewis river,Stream
near te waewae,-46.202875,167.65543,"[{'place_name': 'te waewae', 'feature_type': 'Locality'}]",te waewae,Locality
"the dunes, kairaki (nr christchurch).",-43.376404,172.705135,"[{'place_name': 'kairaki', 'feature_type': 'Locality'}]",christchurch,City
"hunters hills, road to meyer's pass",-44.5,170.816111,"[{'place_name': 'meyer', 'feature_type': 'Hill'}]",meyer,Hill
"mokau river, tauwhare scenic reserve",-38.712915,174.651343,"[{'place_name': 'mokau river', 'feature_type': 'Stream'}]",tauwhare,Locality
hukutaia domain,-38.068638,177.2658,"[{'place_name': 'domain', 'feature_type': 'Place'}]",domain,Place
"kawarau gorge, gentle annie",-41.16778,173.49039,"[{'place_name': 'kawarau gorge', 'feature_type': 'Locality'}]",gentle annie,Hill
"kopuku, kopuku stream",-37.280534,175.170387,"[{'place_name': 'kopuku', 'feature_type': 'Locality'}]",kopuku stream,Stream
"nevis river, 0.5 km from mouth",-45.083055,169.016111,"[{'place_name': 'nevis river', 'feature_type': 'Stream'}]",nevis river,Stream
"main south road, just north of rakaia river, bankside near highway 1",-43.712147,172.085058,"[{'place_name': 'rakaia river', 'feature_type': 'Stream'}]",bankside,Locality
stewart island:  near summit of mt anglem,-46.742386,167.911122,"[{'place_name': 'stewart island', 'feature_type': 'Island'}]",summit,Locality
"brattys bush scenic reserve, ngunguru",-35.610598,174.486687,"[{'place_name': 'brattys bush scenic reserve', 'feature_type': 'Scenic Reserve'}]",ngunguru,Locality
south hope range,-41.602216,172.604233,"[{'place_name': 'hope range', 'feature_type': 'Range'}]",hope range,Range
"wanganui, wanganui city, corner ingestre and st hill streets",-39.931961,175.044108,"[{'place_name': 'wanganui', 'feature_type': 'City'}]",wanganui,City
"raukumara range, mount honokawa.",-37.83989,177.98225,"[{'place_name': 'mount honokawa', 'feature_type': 'Hill'}]",mount honokawa,Hill
"stewart island, inland from head of cook arm",-47.19767,167.585237,"[{'place_name': 'stewart island', 'feature_type': 'Island'}]",cook arm,Bay
"canterbury, lake sumner at the head",-42.704265,172.161934,"[{'place_name': 'lake sumner', 'feature_type': 'Lake'}]",lake sumner,Lake
"deer spur, peel forest scenic rserve, south canterbury",-43.891062,171.238376,"[{'place_name': 'deer spur', 'feature_type': 'Ridge'}]",peel forest,Locality
"fox river canyon, west paparoas",-42.047605,171.422805,"[{'place_name': 'fox river', 'feature_type': 'Stream'}]",fox river,Stream
"kermadec islands, south meyer, denham bay",-29.247,-177.878,"[{'place_name': 'kermadec islands', 'feature_type': 'Island'}, {'place_name': 'meyer', 'feature_type': 'Hill'}]",denham bay,Bay
"st. arnaud range, nelson",-41.823468,172.892934,"[{'place_name': 'st. arnaud range', 'feature_type': 'Range'}]",nelson,City
"opotiki, woodlands",-38.064789,177.216349,"[{'place_name': 'woodlands', 'feature_type': 'Locality'}]",woodlands,Locality
"mid dome, red duster creek",-45.5831,168.533,"[{'place_name': 'mid dome', 'feature_type': 'Hill'}]",mid dome,Hill
"vic. cambridge, maungakawa scenic reserve",-37.861342,175.526381,"[{'place_name': 'cambridge', 'feature_type': 'Town'}]",maungakawa scenic reserve,Scenic Reserve
"rimutaka range, east of summit.",-41.111103,175.244765,"[{'place_name': 'rimutaka range', 'feature_type': 'Range'}]",summit,Hill
"soil bureau property, taita",-41.1856,174.961,"[{'place_name': 'taita', 'feature_type': 'Hill'}]",taita,Hill
"terrace on the west bank of the kowhai river valley, upstream from sandy creek",-42.339067,173.5497,"[{'place_name': 'terrace', 'feature_type': 'Flat'}, {'place_name': 'kowhai river', 'feature_type': 'Stream'}]",sandy creek,Stream
"mt honokawa [whanokao], raukumara ra.",-37.853631,177.977521,"[{'place_name': 'whanokao', 'feature_type': 'Hill'}]",whanokao,Hill
"waipapa station, south bank, clarence r.",-42.167043,173.859277,"[{'place_name': 'waipapa', 'feature_type': 'Locality'}, {'place_name': 'south bank', 'feature_type': 'Bank'}]",clarence,Locality
"lake tekapo, near power-house",-44.010145,170.461804,"[{'place_name': 'lake tekapo', 'feature_type': 'Locality'}]",lake tekapo,Locality
"upper taieri plain, vicinity of patearoa power station; c. 1 km upstream of styx/patearoa road; near holiday crib at road end.",-45.335095,169.951318,"[{'place_name': 'upper taieri plain', 'feature_type': 'Flat'}, {'place_name': 'patearoa', 'feature_type': 'Locality'}, {'place_name': 'patearoa', 'feature_type': 'Locality'}]",end,Hill
"south auckland, hamilton ecological district, rototuna, thomas road.",-37.730188,175.280251,"[{'place_name': 'auckland', 'feature_type': 'City'}, {'place_name': 'hamilton', 'feature_type': 'City'}]",rototuna,Suburb
"epsom, showgrounds, grandstand roof",-36.890466,174.782148,"[{'place_name': 'epsom', 'feature_type': 'Suburb'}]",epsom,Suburb
"erua, near national park, near margin of erua state forest",-39.166,175.368,"[{'place_name': 'erua', 'feature_type': 'Locality'}, {'place_name': 'national park', 'feature_type': 'Village'}]",erua,Locality
"christchurch, near thorrington primary school",-43.564858,172.628515,"[{'place_name': 'christchurch', 'feature_type': 'City'}]",christchurch,City
"levin, ohau river, cresswell's gravel quarry, gladstone rd extension",-40.6647,175.36,"[{'place_name': 'levin', 'feature_type': 'Town'}]",gladstone,Locality
"headwaters of piraruhe stream, between wanganui river and national park",-39.307,175.084,"[{'place_name': 'piraruhe stream', 'feature_type': 'Stream'}, {'place_name': 'wanganui river', 'feature_type': 'Stream'}]",national park,Village
marlborough: monkey face,-42.428778,173.405852,"[{'place_name': 'marlborough', 'feature_type': 'Suburb'}]",marlborough,Suburb
irene saddle [pass] to coronation peak,-45.224162,167.253547,"[{'place_name': 'saddle', 'feature_type': 'Hill'}]",coronation peak,Hill
"head of lake sumner, north canterbury - outlet of hurunui river",-42.717472,172.276633,"[{'place_name': 'lake sumner', 'feature_type': 'Lake'}]",hurunui river,Stream
"mount aspiring national park, upper arawata valley",-44.32907,168.75412,"[{'place_name': 'mount aspiring national park', 'feature_type': 'National Park'}]",mount aspiring national park,National Park
"upper rakaia river, nr lyell hutt",-43.298851,170.910688,"[{'place_name': 'rakaia river', 'feature_type': 'Stream'}]",lyell,Locality
"tarata, inglewood, taranaki",-39.15,174.367,"[{'place_name': 'tarata', 'feature_type': 'Locality'}, {'place_name': 'inglewood', 'feature_type': 'Town'}]",taranaki,Hill
"limestone valley, west of taiko, sth canterbury",-44.345444,171.023069,"[{'place_name': 'limestone valley', 'feature_type': 'Locality'}]",taiko,Locality
lake mangamahoe,-39.127332,174.125553,"[{'place_name': 'lake mangamahoe', 'feature_type': 'Lake'}]",lake mangamahoe,Lake
paparoa range: spur south east of mount priestly. ,-42.076243,171.553452,"[{'place_name': 'paparoa range', 'feature_type': 'Range'}]",mount priestly,Hill
"tai tapu, otahuna",-43.6592,172.585,"[{'place_name': 'tai tapu', 'feature_type': 'Locality'}]",tai tapu,Locality
granite rock,-41.262487,173.28702,"[{'place_name': 'rock', 'feature_type': 'Hill'}]",rock,Hill
"mt bruce, masterton, wairarapa",-40.751,175.611,"[{'place_name': 'masterton', 'feature_type': 'Town'}]",masterton,Town
"auckland city, western springs park, great north road",-36.867106,174.722543,"[{'place_name': 'auckland city', 'feature_type': 'Local Authority'}]",western springs,Spring
teddington.,-43.672938,172.652657,"[{'place_name': 'teddington', 'feature_type': 'Locality'}]",teddington,Locality
"otaki gorge road, ½  mile west of roaring meg",-40.87347,175.230101,"[{'place_name': 'gorge road', 'feature_type': 'Locality'}]",roaring meg,Stream
7 mls north of dunedin,-45.795,170.528,"[{'place_name': 'dunedin', 'feature_type': 'City'}]",dunedin,City
"stewart island, big bungaree.",-46.8177,168.095,"[{'place_name': 'stewart island', 'feature_type': 'Island'}]",big bungaree,Beach
"rotorua, blue lake",-38.19573,176.326522,"[{'place_name': 'rotorua', 'feature_type': 'City'}]",blue lake,Lake
bot. gard. ch.ch. [botanic gardens christchurch],-43.531,172.625,"[{'place_name': 'gardens', 'feature_type': 'Locality'}]",christchurch,City
500m south of halkett reserve,-43.477829,172.301492,"[{'place_name': 'halkett', 'feature_type': 'Locality'}]",halkett,Locality
"peel forest homestead, south canterbury",-43.909,171.23,"[{'place_name': 'peel forest', 'feature_type': 'Locality'}]",peel forest,Locality
rock and pillar ra.,-45.383,170.116,"[{'place_name': 'rock and pillar', 'feature_type': 'Locality'}]",rock and pillar,Locality
"lower buller valley on south bank near gorge entrance, nelson.",-41.834,171.662,"[{'place_name': 'south bank', 'feature_type': 'Bank'}]",nelson,City
"taranaki, opunake, te kiri, cold creek",-39.399938,174.013177,"[{'place_name': 'taranaki', 'feature_type': 'Hill'}, {'place_name': 'te kiri', 'feature_type': 'Locality'}]",cold creek,Stream
"nelson, little wanganui, ridge west of shag tarn",-41.338733,172.167425,"[{'place_name': 'nelson', 'feature_type': 'City'}, {'place_name': 'little wanganui', 'feature_type': 'Locality'}]",shag tarn,Lake
"lynn stream hut, mt peel",-43.84587,171.20647,"[{'place_name': 'lynn stream', 'feature_type': 'Stream'}]",lynn stream,Stream
"plantation road/ferrimans road intersection, near tinwald",-43.919746,171.601564,"[{'place_name': 'tinwald', 'feature_type': 'Town'}]",tinwald,Town
kaiaka,-35.11,173.44,"[{'place_name': 'kaiaka', 'feature_type': 'Locality'}]",kaiaka,Locality
"titirangi, clark's bush",-36.939168,174.645073,"[{'place_name': 'titirangi', 'feature_type': 'Suburb'}]",titirangi,Suburb
"christchurch, jollie's bush",-43.586814,172.738743,"[{'place_name': 'christchurch', 'feature_type': 'City'}]",christchurch,City
sumner beach,-43.564364,172.753556,"[{'place_name': 'sumner', 'feature_type': 'Suburb'}]",sumner,Suburb
"mystery burn, murchison mts, fiordland, hanging valley south of black cone",-45.321502,167.589027,"[{'place_name': 'mystery burn', 'feature_type': 'Stream'}, {'place_name': 'murchison', 'feature_type': 'Town'}]",black cone,Hill
lake rotoroa,-41.795151,172.599647,"[{'place_name': 'lake rotoroa', 'feature_type': 'Lake'}]",lake rotoroa,Lake
"horseshoe lake, christchurch",-43.496619,172.671412,"[{'place_name': 'horseshoe lake', 'feature_type': 'Lake'}]",christchurch,City
kauri glen,-36.804896,174.734945,"[{'place_name': 'kauri', 'feature_type': 'Locality'}]",kauri,Locality
"levin, ohau river, near gladstone road",-40.654198,175.35373,"[{'place_name': 'levin', 'feature_type': 'Town'}]",gladstone,Suburb
westhaven [whanganui inlet],-40.574,172.634,"[{'place_name': 'westhaven', 'feature_type': 'Suburb'}]",whanganui inlet,Bay
"moawhango west v., kaimanawa mountains",-39.297602,175.840551,"[{'place_name': 'moawhango', 'feature_type': 'Locality'}]",kaimanawa mountains,Range
"new zealand, kermadec ecological region and district, kermadec islands nature reserve, kermadec islands southern group, cheeseman island",-30.536277,-178.568,"[{'place_name': 'kermadec islands nature reserve', 'feature_type': 'Nature Reserve'}, {'place_name': 'kermadec islands', 'feature_type': 'Island'}]",cheeseman island,Island
"lake otakaina access road, rotorua lakes",-38.064226,176.430384,"[{'place_name': 'rotorua', 'feature_type': 'City'}]",rotorua,City
"north island, south auckland, thames, kaueranga valley road near national park boundary",-37.09108,175.64328,"[{'place_name': 'north island', 'feature_type': 'Island'}, {'place_name': 'auckland', 'feature_type': 'Local Authority'}, {'place_name': 'thames', 'feature_type': 'Town'}, {'place_name': 'national park', 'feature_type': 'Village'}]",boundary,Hill
reef point [tauroa point],-35.1858,173.04,"[{'place_name': 'reef point', 'feature_type': 'Point'}]",tauroa point,Point
"fiordland np, homer saddle",-44.766666,167.983333,"[{'place_name': 'homer saddle', 'feature_type': 'Pass'}]",homer saddle,Pass
"bay of plenty, tauranga ecological district near kaukumoutiti road.",-37.825052,175.995954,"[{'place_name': 'bay of plenty', 'feature_type': 'Bay'}]",tauranga,City
"marlborough, haldon hills, blind",-41.750633,174.023332,"[{'place_name': 'marlborough', 'feature_type': 'Suburb'}]",haldon hills,Range
island bay,-41.341868,174.769989,"[{'place_name': 'island bay', 'feature_type': 'Suburb'}]",island bay,Suburb
"te urewera, tarapounamu la2",-38.617458,176.872093,"[{'place_name': 'tarapounamu', 'feature_type': 'Hill'}]",tarapounamu,Hill
"swamp near mouth of haast river, south westland, south island",-43.846,169.029,"[{'place_name': 'haast river', 'feature_type': 'Stream'}]",south island,Island
"mt albert, 11 ruarangi road",-36.891117,174.723041,"[{'place_name': 'ruarangi', 'feature_type': 'Locality'}]",ruarangi,Locality
waitara nursery,-38.994898,174.225216,"[{'place_name': 'waitara', 'feature_type': 'Town'}]",waitara,Town
"commissioners bluff [waitahi bluff?], nth of okarito, south westland",-43.146,170.228,"[{'place_name': 'bluff', 'feature_type': 'Town'}, {'place_name': 'waitahi bluff', 'feature_type': 'Cliff'}]",okarito,Locality
mahoenui,-38.5661,174.833,"[{'place_name': 'mahoenui', 'feature_type': 'Locality'}]",mahoenui,Locality
"mt. hutt range, scotts stream [tributary of dry creek]",-43.549816,171.539715,"[{'place_name': 'dry creek', 'feature_type': 'Stream'}]",dry creek,Stream
"nelson. waiharakeke bay, abel tasman national park.",-40.842241,173.014771,"[{'place_name': 'nelson', 'feature_type': 'City'}, {'place_name': 'waiharakeke bay', 'feature_type': 'Hill'}]",abel tasman national park,National Park
wairau valley,-41.766797,172.973616,"[{'place_name': 'wairau valley', 'feature_type': 'Suburb'}]",wairau valley,Suburb
"waiouru, sf 68",-39.53727,175.617676,"[{'place_name': 'waiouru', 'feature_type': 'Town'}]",waiouru,Town
waitonga falls track,-39.330563,175.503495,"[{'place_name': 'waitonga falls', 'feature_type': 'Waterfall'}]",waitonga falls,Waterfall
"mangawhero track, mt egmont",-39.352278,174.083311,"[{'place_name': 'mangawhero', 'feature_type': 'Locality'}]",mangawhero,Locality
"pohutukawa flat, little barrier island",-36.185967,175.106293,"[{'place_name': 'pohutukawa flat', 'feature_type': 'Flat'}]",pohutukawa flat,Flat
"hawke's bay, maharakeke.",-40.227827,176.432096,"[{'place_name': 'maharakeke', 'feature_type': 'Locality'}]",maharakeke,Locality
between belfast & harewood.,-43.546392,172.504885,"[{'place_name': 'belfast', 'feature_type': 'Locality'}]",harewood,Suburb
"north auckland, ahipara gumlands",-35.271046,173.145212,"[{'place_name': 'auckland', 'feature_type': 'City'}]",ahipara,Town
"christchurch: cashmere, residence of d. robinson near cracroft tce.",-43.573858,172.62846,"[{'place_name': 'christchurch', 'feature_type': 'City'}, {'place_name': 'cashmere', 'feature_type': 'Suburb'}]",cracroft,Suburb
"south canterbury, hunters hills, weaner run, south branch pareora river.",-44.536152,170.873621,"[{'place_name': 'pareora river', 'feature_type': 'Stream'}]",pareora river,Stream
[waiohine gorge road],-41.010813,175.394777,"[{'place_name': 'waiohine', 'feature_type': 'Hill'}]",gorge road,Locality
"waimakariri, kaianga [kainga]",-43.407442,172.660337,"[{'place_name': 'kainga', 'feature_type': 'Locality'}]",kainga,Locality
"franz josef glacier, power house track",-43.388759,170.183554,"[{'place_name': 'franz josef glacier', 'feature_type': 'Glacier'}]",franz josef glacier,Glacier
"mt misery, nelson lakes nat. park",-41.9311,172.668,"[{'place_name': 'nelson', 'feature_type': 'City'}]",nelson,City
"urenui, taranaki.",-38.994,174.39,"[{'place_name': 'urenui', 'feature_type': 'Locality'}]",taranaki,Hill
"titirangi, grendon road",-36.948985,174.651372,"[{'place_name': 'titirangi', 'feature_type': 'Suburb'}]",titirangi,Suburb
"canterbury, burwood",-43.466035,172.690905,"[{'place_name': 'burwood', 'feature_type': 'Suburb'}]",burwood,Suburb
"north of lammerlaw range, red swamp",-45.590242,169.695573,"[{'place_name': 'lammerlaw range', 'feature_type': 'Range'}]",red swamp,Wetland
"pt. elizabeth, north of greymouth",-42.385,171.222,"[{'place_name': 'greymouth', 'feature_type': 'Town'}]",greymouth,Town
"okarito, south westland",-43.22399,170.155961,"[{'place_name': 'okarito', 'feature_type': 'Locality'}]",okarito,Locality
"fendalton, christchurch. (puriri street)",-43.52873,172.591623,"[{'place_name': 'fendalton', 'feature_type': 'Suburb'}, {'place_name': 'christchurch', 'feature_type': 'City'}]",puriri,Locality
"nelson, matakitaki valley, mt burn",-42.208569,172.484105,"[{'place_name': 'nelson', 'feature_type': 'City'}]",matakitaki,Historic Site
"okarahia stream, east hundalee hills, marlborough",-42.5414,173.45143,"[{'place_name': 'okarahia stream', 'feature_type': 'Stream'}, {'place_name': 'hundalee', 'feature_type': 'Locality'}]",marlborough,Suburb
"kokatahi, toaroha divide",-42.916666,171.083333,"[{'place_name': 'kokatahi', 'feature_type': 'Locality'}]",kokatahi,Locality
"epsom, landscape road",-36.897615,174.753042,"[{'place_name': 'epsom', 'feature_type': 'Suburb'}]",epsom,Suburb
"jacks pass, hanmer springs",-42.487933,172.827666,"[{'place_name': 'jacks pass', 'feature_type': 'Pass'}]",hanmer springs,Town
huka falls lodge,-38.650707,176.090042,"[{'place_name': 'huka falls', 'feature_type': 'Waterfall'}]",huka falls,Waterfall
"north island, auckland ecological region, glen eden, waikumete cemetery, south of urupa, southeast of ""orchard hill""",-36.904338,174.641883,"[{'place_name': 'north island', 'feature_type': 'Island'}, {'place_name': 'auckland', 'feature_type': 'City'}]",glen eden,Suburb
"mt cheeseman, craigieburn range",-43.170248,171.634688,"[{'place_name': 'craigieburn range', 'feature_type': 'Range'}]",craigieburn range,Range
"island bay, banks peninsula, canterbury",-43.89,172.87,"[{'place_name': 'island bay', 'feature_type': 'Suburb'}]",banks peninsula,Peninsula
"stewart island, horseshoe bay.",-46.904326,168.119965,"[{'place_name': 'stewart island', 'feature_type': 'Island'}]",horseshoe bay,Bay
"north island, eastern northland ecological region, mokohinau islands nature reserve , stack ""h""",-35.91309,175.093785,"[{'place_name': 'north island', 'feature_type': 'Island'}, {'place_name': 'northland', 'feature_type': 'Suburb'}]",mokohinau islands nature reserve,Nature Reserve
"otago, murdering beach",-45.762862,170.67353,"[{'place_name': 'murdering beach', 'feature_type': 'Beach'}]",murdering beach,Beach
"orari gorge, station creek, geraldine co. south canterbury.",-43.981441,171.180994,"[{'place_name': 'orari', 'feature_type': 'Locality'}, {'place_name': 'station creek', 'feature_type': 'Stream'}]",geraldine,Locality
woodhill,-36.745362,174.431215,"[{'place_name': 'woodhill', 'feature_type': 'Suburb'}]",woodhill,Suburb
stewart island: mt rakehua.,-46.948325,167.879251,"[{'place_name': 'stewart island', 'feature_type': 'Island'}]",stewart island,Island
wakanui beach,-44.027582,171.858956,"[{'place_name': 'wakanui beach', 'feature_type': 'Beach'}]",wakanui beach,Beach
"kariotahi [karioitahi], west coast, auckland",-37.321703,174.576289,"[{'place_name': 'kariotahi', 'feature_type': 'Locality'}, {'place_name': 'karioitahi', 'feature_type': 'Locality'}]",auckland,Local Authority
"inangahua river, 2.5 km s inangahua",-41.866667,171.916667,"[{'place_name': 'inangahua river', 'feature_type': 'Stream'}]",inangahua,Locality
"okains bay, banks peninsula.",-43.718445,173.037067,"[{'place_name': 'okains bay', 'feature_type': 'Bay'}]",banks peninsula,Peninsula
"mount cook national park, birch hill.",-43.802,170.113,"[{'place_name': 'mount cook national park', 'feature_type': 'National Park'}]",birch hill,Locality
waimakariri river track,-43.021225,171.592727,"[{'place_name': 'waimakariri river', 'feature_type': 'Stream'}]",waimakariri river,Stream
